epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,3597.53,0.57545,0.48811,1.03936,0.83861,0.64805,0.76465,0.58486,0.80173,0.88166,1.25575,0.000274,0.000274,0.000274
112,3629.15,0.59689,0.49561,1.04748,0.74012,0.71618,0.73892,0.56952,0.80355,0.90017,1.24586,0.0002674,0.0002674,0.0002674
113,3661.14,0.58144,0.49867,1.04469,0.78522,0.73078,0.77417,0.59301,0.78921,0.81559,1.24181,0.0002608,0.0002608,0.0002608
114,3693.66,0.57838,0.49186,1.03993,0.75946,0.72502,0.77665,0.59981,0.77546,0.8691,1.23338,0.0002542,0.0002542,0.0002542
115,3726.67,0.56897,0.48771,1.0467,0.79184,0.70726,0.78828,0.5987,0.79644,0.84101,1.25292,0.0002476,0.0002476,0.0002476
116,3758.93,0.57895,0.48585,1.04052,0.71741,0.73956,0.76795,0.58772,0.77198,0.83228,1.22315,0.000241,0.000241,0.000241
117,3789.65,0.58115,0.48241,1.03606,0.80114,0.69579,0.77946,0.59669,0.77595,0.81229,1.22823,0.0002344,0.0002344,0.0002344
118,3821.76,0.58437,0.47835,1.04376,0.83741,0.73058,0.79394,0.60532,0.77827,0.79935,1.23358,0.0002278,0.0002278,0.0002278
119,3854.45,0.56476,0.48207,1.0311,0.7765,0.70484,0.76378,0.58588,0.79517,0.84116,1.25323,0.0002212,0.0002212,0.0002212
120,3886.55,0.57589,0.46221,1.03134,0.75755,0.73268,0.78263,0.5917,0.79292,0.84014,1.25026,0.0002146,0.0002146,0.0002146
121,3918.94,0.56725,0.47758,1.03485,0.77077,0.74239,0.7711,0.5888,0.8033,0.81944,1.27125,0.000208,0.000208,0.000208
122,3950.81,0.56119,0.46221,1.03834,0.75647,0.73693,0.77995,0.59755,0.7956,0.8314,1.25746,0.0002014,0.0002014,0.0002014
123,3982.5,0.55323,0.45509,1.0291,0.79808,0.7125,0.78553,0.59319,0.79658,0.84099,1.25725,0.0001948,0.0001948,0.0001948
124,4014.89,0.56853,0.46202,1.03058,0.79507,0.70566,0.78185,0.59855,0.79502,0.84663,1.26291,0.0001882,0.0001882,0.0001882
125,4046.65,0.54708,0.46689,1.02549,0.73937,0.77436,0.78159,0.60224,0.77335,0.78592,1.23611,0.0001816,0.0001816,0.0001816
126,4079.33,0.55783,0.45688,1.02661,0.77198,0.73743,0.7824,0.60335,0.78029,0.80212,1.23647,0.000175,0.000175,0.000175
127,4110.82,0.5526,0.45419,1.02562,0.7841,0.71055,0.77964,0.6021,0.76985,0.80411,1.23144,0.0001684,0.0001684,0.0001684
128,4142.17,0.5474,0.44656,1.03082,0.72419,0.76932,0.77067,0.59685,0.77291,0.79409,1.23116,0.0001618,0.0001618,0.0001618
129,4173.52,0.54679,0.44973,1.02057,0.73811,0.76192,0.77773,0.60474,0.76587,0.80937,1.2234,0.0001552,0.0001552,0.0001552
130,4204.75,0.54066,0.44861,1.02199,0.77751,0.70425,0.76368,0.59156,0.77301,0.81965,1.23032,0.0001486,0.0001486,0.0001486
131,4236.18,0.53358,0.44287,1.0192,0.77781,0.74694,0.79173,0.60935,0.76461,0.77433,1.23057,0.000142,0.000142,0.000142
132,4270.54,0.54571,0.44609,1.02732,0.79617,0.703,0.78939,0.61478,0.77085,0.82294,1.23574,0.0001354,0.0001354,0.0001354
133,4305.12,0.53303,0.43776,1.02511,0.78204,0.72839,0.77655,0.60207,0.77532,0.81359,1.24121,0.0001288,0.0001288,0.0001288
134,4338.32,0.54089,0.42756,1.01009,0.78891,0.74491,0.77352,0.59758,0.77409,0.79941,1.25079,0.0001222,0.0001222,0.0001222
